CustomerID,FirstName,LastName,Gender,Region,SSN
C0162,James,Williams,male,New York,169-8295-71
C0163,Tina,Holt,female,New York,546-5872-81
C0164,Theresa,Davis,Female,Texaz,816.34.7228
C0165,Gregory,Ortega,M,NY,859-3483-25
C0166,Ronald,,Male,NY,276.53.5075
C0167,Kevin,,M,New York,076-88-2950
C0168,David,Miller,male,california,914.36.7227
C0169,Keith,Reed,male,New Yorkk,401/07/7473
C0170,Cody,Keller,Male,Ohho,684-75-7240
C0171,Tim,Cameron,Male,Texaz,836.32.9420
C0172,Michael,Bates,M,Texas,745-11-7268
C0173,Alexander,Flores,Male,,216.17.3440
C0174,Chloe,Wheeler,F,Ohio,560-5974-28
C0175,Darrell,Smith,male,New Yorkk,198963876
C0176,Edward,Bell,M,New York,381-9101-40
C0177,Daniel,,Male,Californiya,751-0588-72
C0178,Miguel,Chung,male,NY,282577204
C0179,Michael,,male,Nw York,204846261
C0180,John,,male,Californiya,348492942
C0181,Michael,Hodges,Male,Texaz,778-30-1843
C0182,David,Tran,Male,Ohio,708199071
C0183,Mark,Howell,Male,Texas,735-3810-42
C0184,Miguel,Goodman,male,Texaz,713156107
C0185,James,Murphy,M,NY,906/91/8733
C0186,Christopher,Santos,male,Ohio,375/12/9236
C0187,Thomas,,M,New Yorkk,021777542
C0188,Wayne,Snyder,Male,Texaz,491-38-4012
C0189,David,Jackson,M,New Yorkk,157-40-2491
C0190,Matthew,Gray,male,Ohho,764979468
C0191,Christopher,Sandoval,Male,New York,690628259
C0192,Thomas,,male,Nw York,359-56-1933
C0193,Julie,Lozano,F,Nw York,749/67/4470
C0194,Eric,,M,Ohio,689.37.9003
C0195,Tamara,,Female,New York,358-4954-00
C0196,Kevin,,Male,,121/19/2928
C0197,Tyler,Larsen,male,Nw York,860616468
C0198,James,Ortiz,male,california,603762095
C0199,Maurice,,Male,NY,959/51/2357
C0200,Mario,Huff,M,,023-8191-37
C0201,Cameron,Santiago,male,Ohho,035.58.0197
C0202,Jason,,male,Ohho,858/37/6262
C0203,Michael,Holloway,Male,Ohho,523/56/9572
C0204,Raymond,,Male,NY,234-22-9115
C0205,Christopher,Johnson,male,Nw York,196.54.2452
C0206,Steven,Johnson,Male,New Yorkk,350-34-3088
C0207,Brandon,,Male,Ohio,969/21/5763
C0208,Logan,,M,Texas,956-29-7833
C0209,Andrew,Curtis,M,New York,866-6045-95
C0210,Thomas,Lopez,M,Ohho,826-47-0616
C0211,Daniel,Holland,Male,Ohho,115.11.4720
C0212,Eric,Burgess,M,NY,207-1954-25
C0213,Brian,Esparza,male,Ohho,499/92/6999
C0214,Larry,Knight,Male,Texaz,238-5259-72
C0215,Reginald,Lee,M,Texaz,278-6380-19
C0216,Spencer,Howard,Male,Texas,854291313
C0217,Susan,Smith,female,Texaz,414622277
C0218,Daniel,Wilcox,Male,Ohio,852.84.1205
C0219,Derek,,M,,527.30.6899
C0220,Gregory,Trujillo,Male,Texas,350-09-8032
C0221,Keith,Brown,male,Texaz,210.24.8549
C0222,Samantha,Barnes,Female,Californiya,377.37.4733
C0223,Stephanie,Mckenzie,F,Texas,096-7013-07
C0224,Cesar,,male,Texas,907.42.6622
C0225,Thomas,Sosa,Male,Texaz,079-30-2406
C0226,Christopher,,M,New Yorkk,280.99.7339
C0227,Jeffrey,,male,Ohho,465.35.7339
C0228,Travis,Jones,male,New Yorkk,473-77-9006
C0229,Derrick,Walters,male,New Yorkk,154.95.7652
C0230,Daniel,Mitchell,male,california,899.86.9584
C0231,Jacob,Walton,Male,Texas,268796912
C0232,Mark,Hopkins,male,New York,469/86/0676
C0233,Mary,,F,Ohio,400/27/9865
C0234,Andrew,Bush,M,Californiya,376/12/4410
C0235,Amy,,Female,NY,604/91/9892
C0236,Travis,,M,california,545.77.6601
C0237,Marc,,Male,NY,439493309
C0238,Jay,Wright,M,Ohio,187/92/1561
C0239,Frank,,male,New York,535-12-6229
C0240,Jessica,,female,NY,810.76.7865
C0241,Samuel,Taylor,M,NY,703724255
C0242,Jeffrey,Sparks,Male,NY,765.95.6872
C0243,Eric,Lopez,Male,New York,582-6685-00
C0244,Mark,Davidson,male,Texas,677-6519-26
C0245,Mary,Anderson,F,Texaz,992/00/2853
C0246,Amanda,Kelly,F,Ohho,418-5224-65
C0247,Steven,Williams,male,New York,819/70/1950
C0248,Michelle,Morrow,F,california,899686937
C0249,Robert,Pena,male,NY,988-13-4076
C0250,Rodney,Adams,Male,New York,180071694
C0251,Roy,Cruz,M,NY,495401130
C0252,Joan,Johnson,female,california,466.71.0398
C0253,Michael,,Male,Ohho,798.49.0734
C0254,Shannon,Johnson,F,New Yorkk,982.00.8775
C0255,David,Adams,male,Californiya,138-2451-44
C0256,Dwayne,,M,NY,517.33.9517
C0257,Kevin,,Male,Ohho,361/85/8506
C0258,Sherry,,Female,Texas,533.41.9413
C0259,Samantha,Mays,F,Nw York,594/56/7425
C0260,Robert,Anderson,M,NY,925-17-6007
C0261,Julie,Meyers,F,New York,522.61.5596
C0262,Kyle,Church,male,Ohho,821572393
C0263,Nicholas,Clark,male,NY,661308159
C0264,Tracy,Peterson,Female,Texas,350.02.8080
C0265,Lori,Mccarthy,F,Texas,638/29/4112
C0266,Amy,Buck,female,New York,150634899
C0267,James,,male,Nw York,005-66-9453
C0268,Jessica,Dawson,F,Ohio,463/68/4353
C0269,Madison,,female,Nw York,093-7652-03
C0270,Richard,Schaefer,Male,Ohho,650/80/4653
C0271,Nicholas,,M,Californiya,088.13.8659
C0272,Erika,Sanchez,Female,Texaz,759457940
C0273,Geoffrey,Bell,Male,california,378-0441-49
C0274,Michael,Martinez,male,Ohho,221.45.4213
C0275,Joseph,Bowers,M,,715420916
C0276,Johnathan,Williams,male,california,698.77.0629
C0277,Jessica,Hawkins,female,Californiya,509952002
C0278,Seth,,male,New York,574-59-5993
C0279,Jennifer,Ferguson,Female,New Yorkk,940-38-6159
C0280,Andrew,Smith,male,,913-6969-10
C0281,Michelle,Conrad,F,Texaz,272/42/4961
C0282,Gavin,Sloan,male,New York,409-5608-63
C0283,Heather,Hawkins,Female,Texas,285.96.0691
C0284,Erik,Baker,M,,845-7862-88
C0285,Ruben,,M,Ohio,280.78.2463
C0286,Mary,Griffin,Female,Texas,184-6499-18
C0287,Sharon,,F,Texaz,124.25.4335
C0288,Karen,Hays,F,,448.28.6732
C0289,John,Williams,M,california,559.57.9989
C0290,Erik,,M,New York,608-71-7297
C0291,Jeffrey,,M,Texas,561.24.5225
C0292,Shawn,,M,New Yorkk,456-3413-94
C0293,Bradley,Black,Male,Texaz,824/56/2887
C0294,Peter,Bennett,Male,Texaz,312.52.9723
C0295,Bryan,Ryan,M,Californiya,748-1896-05
C0296,Nancy,,female,california,182820684
C0297,Timothy,Myers,M,Texas,667403920
C0298,Carla,Rosario,female,california,889-89-0252
C0299,Hannah,Greer,female,california,709-8128-72
C0300,Melanie,Thompson,female,california,659-39-6269
C0301,Anthony,,Male,New Yorkk,479-5689-61
C0302,Jason,Gonzales,male,Nw York,522-57-0366
C0303,Ryan,Matthews,male,,727/85/9949
C0304,Calvin,Soto,Male,New Yorkk,898/08/3634
C0305,Curtis,Mccormick,male,Ohio,765664501
C0306,Jonathan,Chan,male,,722/35/0922
C0307,James,Franco,male,Texas,413-69-2485
C0308,Larry,Walker,male,california,558-3004-89
C0309,Anthony,Cox,male,Nw York,789-7985-30
C0310,Kevin,Ray,Male,Texas,546/20/9671
C0311,David,Owens,male,california,404-41-9336
C0312,Jack,Pugh,Male,california,158/15/7436
C0313,Christopher,,M,Ohho,211.01.0961
C0314,David,Mcguire,M,Nw York,596519026
C0315,Allison,,Female,Ohio,689.88.3957
C0316,George,,male,Texaz,305-09-9813
C0317,Steven,Stark,M,Californiya,908.70.1469
C0318,Michael,Solis,Male,Nw York,305.22.3195
C0319,Karen,Sullivan,F,Texas,246-94-7297
C0320,Cory,Ramsey,Male,california,438-99-0756
C0321,Kelly,,female,california,567039426
C0322,Joseph,,male,Texaz,897-8017-80
C0323,Peter,Henson,Male,Nw York,137.81.5524
C0324,Tony,,male,Ohho,165-2215-26
C0325,Bonnie,,female,Texas,005-6989-59
C0326,Joshua,Reynolds,male,New York,660.36.0584
C0327,Anthony,Jordan,male,Nw York,779-2521-82
C0328,Gregory,Allen,Male,NY,661-2657-81
C0329,Steven,Davis,male,Nw York,271957229
C0330,Bryan,Richmond,male,Texaz,355-6643-42
C0331,David,,male,california,356-0126-98
C0332,Erika,,F,Californiya,884-6584-37
C0333,David,Burns,M,Texas,643-9228-20
C0334,John,,M,california,375.72.6314
C0335,Larry,Jefferson,male,NY,358-4194-04
C0336,Jesse,,Male,NY,129/12/1590
C0337,William,Ray,male,,228-7071-40
C0338,Richard,,male,Ohio,811.18.7611
C0339,Alex,,Male,Ohio,744-0211-27
C0340,Frank,,male,Californiya,277.76.9327
C0341,David,,M,Nw York,797-9320-55
C0342,Robert,,M,Nw York,990-32-5135
C0343,Matthew,Berry,male,Ohio,894-81-9798
C0344,Noah,,M,Texas,510296857
C0345,Anthony,Hull,male,NY,697-9178-25
C0346,Jeremy,Lambert,male,california,658/34/6936
C0347,Stephen,Phillips,Male,Nw York,734845687
C0348,Mike,Burke,M,Texas,866.77.5234
C0349,John,Mcintosh,male,New York,698/80/9899
C0350,David,,male,Californiya,147653850
C0351,Jessica,Manning,female,New Yorkk,647.75.8737
C0352,Sean,Simpson,male,Ohio,638-7289-08
C0353,Nathan,,Male,New Yorkk,504-2411-39
C0354,Mitchell,Johnson,male,california,829-8763-88
C0355,Pamela,Mcbride,F,NY,425.90.2226
C0356,Stephen,Taylor,male,Texaz,177-5404-42
C0357,Jose,,Male,NY,277415602
C0358,Roger,Thompson,Male,Ohio,802-12-7690
C0359,Alexander,Morrison,Male,Texas,836-92-1153
C0360,Gabriel,Walker,Male,Ohho,898/87/7272
C0361,Andrew,Tucker,M,Ohho,648-0659-49
C0362,Matthew,Gillespie,male,Californiya,084-46-7165
C0363,Roy,Hernandez,M,New Yorkk,893-61-4036
C0364,Howard,Carlson,Male,NY,507.62.8576
C0365,John,Edwards,M,Nw York,632-49-3571
C0366,John,Edwards,M,Ohio,462-59-5855
C0367,Thomas,Middleton,Male,Ohio,826-5829-90
C0368,Robin,,F,Ohho,882.48.4061
C0369,Robert,Wiggins,male,california,029-0509-87
C0370,Sara,,female,,059281675
C0371,Leonard,,Male,Ohho,149.19.7207
C0372,John,Smith,Male,NY,713-22-7086
C0373,Peter,,M,Texaz,292-8736-78
C0374,John,Morris,M,Ohho,748-0135-16
C0375,Robert,,Male,Ohio,209-2035-64
C0376,Joshua,Anderson,M,Californiya,271145858
C0377,Christopher,,M,Texaz,960.64.6196
C0378,Dennis,Black,male,New Yorkk,915-18-3314
C0379,Paula,Adkins,F,california,437.43.3821
C0380,Steven,Brown,Male,New Yorkk,257/55/8548
C0381,Roy,West,male,Texaz,304865846
C0382,Crystal,,F,New York,937-5709-93
C0383,Lisa,Miller,female,Texaz,802/59/4377
C0384,Cory,Oconnor,M,california,030/98/0111
C0385,Daniel,,Male,NY,223725368
C0386,Jillian,Stone,Female,california,086.66.0761
C0387,Peter,Hurst,M,Texaz,779-6719-71
C0388,Frank,Flores,male,Ohho,407.29.8822
C0389,David,,M,New York,997/21/2778
C0390,Tanya,,Female,california,561244634
C0391,Eric,Bailey,M,New York,030/92/0130
C0392,Jason,,male,Californiya,941/81/5485
C0393,Brandon,Ruiz,M,Californiya,632-46-1894
C0394,Erin,Carroll,female,NY,024/76/7243
C0395,Joseph,,M,california,538-65-5716
C0396,Warren,Bell,M,Texaz,182324729
C0397,Glenda,Jackson,F,Texas,851/72/1298
C0398,Laura,Byrd,female,california,953.50.4542
C0399,Matthew,,M,Ohho,564-98-7216
C0400,Jesse,,M,,863-0850-99
C0401,Timothy,Guzman,male,Texas,009775821
C0402,John,,M,New York,349.92.3704
C0403,Jasmine,,F,Californiya,030.41.0612
C0404,Anthony,Taylor,Male,New Yorkk,596750707
C0405,Lee,Boyd,male,Texaz,973.12.1661
C0406,Darrell,,male,Texas,413/21/8677
C0407,Christian,Mcdaniel,male,Ohho,466-1910-56
C0408,Crystal,Kim,F,NY,768-04-8601
C0409,Robert,Greer,Male,New Yorkk,797/69/2134
C0410,Brent,Banks,Male,Nw York,263013531
C0411,Scott,,M,california,302090516
C0412,Jessica,Smith,F,Texas,847-38-4935
C0413,Christina,,female,Texas,700493877
C0414,Paul,Simmons,Male,california,786274563
C0415,Anthony,,M,Californiya,480-2618-29
C0416,Nicholas,Browning,Male,New Yorkk,805/15/7487
C0417,Troy,,Male,Ohho,045-9897-29
C0418,Ross,Lee,male,Californiya,789058243
C0419,Gordon,Robinson,Male,california,440-4675-63
C0420,April,Fuentes,F,NY,132-0382-03
C0421,Herbert,,M,Ohho,035/97/8898
C0422,Shelby,,Female,New Yorkk,307-93-4376
C0423,Ryan,Maldonado,M,NY,355-05-6327
C0424,Shannon,Barker,Female,,313-47-0842
C0425,Justin,,Male,Californiya,791670874
C0426,Brandon,Hernandez,M,,904/60/5617
C0427,Cameron,Dominguez,Male,Nw York,084-1787-56
C0428,Joseph,Moore,M,california,017/47/0860
C0429,Mary,Buckley,F,New Yorkk,442/92/7146
C0430,Dan,,M,Ohho,249/55/2779
C0431,Jeffrey,Martinez,M,california,042-24-8141
C0432,Olivia,,female,Ohho,051.36.9965
C0433,Bryan,Hale,Male,Ohho,634.53.0391
C0434,Matthew,,male,Californiya,783911683
C0435,Robert,,Male,New York,815533127
C0436,Vincent,Rodriguez,M,Texas,198.07.0447
C0437,Richard,Williams,M,NY,908719026
C0438,Melanie,Little,Female,New Yorkk,828/28/9179
C0439,Brian,Acevedo,M,New York,272/05/3601
C0440,Larry,,male,New Yorkk,347-3921-42
C0441,Terri,Edwards,F,Californiya,493/90/7825
C0442,Seth,Alexander,male,,555.08.9445
C0443,Matthew,Owens,Male,california,352.40.0102
C0444,Jason,Wagner,Male,Ohho,982/05/1754
C0445,Michael,Savage,Male,New York,882/65/4392
C0446,Michael,Carrillo,M,Nw York,564/48/4536
C0447,Stephanie,,F,Nw York,663/59/5592
C0448,April,Mcdowell,Female,New York,073402459
C0449,Amy,Ferguson,Female,Texaz,749164614
C0450,Donna,,F,NY,706-0747-80
C0451,Brian,Cooper,Male,Ohio,861.42.5250
C0452,Theresa,,female,Ohio,570-1296-54
C0453,Jacob,Coffey,Male,Ohho,867/43/6512
C0454,Terry,,M,Texas,677/16/8115
C0455,James,Chen,Male,Californiya,487420419
C0456,Brittany,Johnson,female,Texas,979/17/3836
C0457,Destiny,Marks,Female,New York,672-40-9579
C0458,Louis,,Male,Texaz,784481326
C0459,Brittney,Cook,female,Nw York,970-61-3474
C0460,Gina,Woods,Female,california,275/04/1147
C0461,Randy,,Male,Ohio,338.73.8644
C0462,Craig,Walker,M,Californiya,998-9930-65
C0463,Martin,,M,california,790/15/3522
C0464,Jordan,Powers,Male,california,922.14.4773
C0465,Andre,,Male,Texas,837.68.5476
C0466,Rachel,Lewis,Female,Ohho,602.11.3834
C0467,James,,Male,NY,456.67.7367
C0468,Tammy,Turner,F,california,362/63/7054
C0469,Helen,,Female,Ohho,139-3812-77
C0470,Misty,White,Female,Texas,563/82/5460
C0471,Nicole,Walton,F,Texaz,582-91-9525
C0472,William,Mullins,Male,New York,008/37/7542
C0473,Brandon,,male,New Yorkk,170-13-0546
C0474,Jacob,Taylor,M,Californiya,604112993
C0475,Charles,Cook,male,New York,280-8436-92
C0476,Jonathan,Daniel,male,Texas,534.21.2238
C0477,Timothy,,Male,Nw York,294.62.3873
C0478,James,,M,Ohio,454-62-5243
C0479,Jack,,male,Ohho,007204052
C0480,David,Smith,Male,Texaz,847-71-5785
C0481,Timothy,,male,Texaz,868249618
C0482,Ricky,Watson,M,Californiya,271-4829-98
C0483,Benjamin,Foster,M,,665/64/0040
C0484,Jacob,Lyons,M,New York,362.91.5393
C0485,Jamie,White,male,,056/37/9133
C0486,Matthew,,Male,New York,975-57-2862
C0487,Melvin,Lewis,male,New Yorkk,394.45.8655
C0488,John,Johnson,male,New York,210-75-4618
C0489,Adam,Smith,M,Ohio,140-1181-96
C0490,Susan,,Female,Texas,513-27-7362
C0491,Aaron,Barnes,male,New Yorkk,808/49/9780
C0492,Christopher,Ford,Male,Texas,901-32-4128
C0493,Carlos,Bailey,M,NY,686/41/1046
C0494,Jacob,Smith,Male,New Yorkk,730072863
C0495,Robert,Lewis,male,Texaz,937.73.2844
C0496,Sherry,Mckenzie,F,New Yorkk,897/44/0990
C0497,Oscar,Mcgrath,male,New York,891-1967-55
C0498,Jeremy,Williams,male,Texas,790-64-7519
C0499,Jason,Watkins,Male,Californiya,949235279
C0500,Jeffrey,Dean,male,New York,254/37/1125
C0501,Valerie,Lester,F,Texas,268/11/5021
C0502,Ryan,Fischer,male,Texas,094-5198-63
C0503,April,,female,Texaz,191/78/6810
C0504,Emily,Washington,female,Texaz,658093925
C0505,Jordan,Martin,M,california,754.06.2267
C0506,Kenneth,,male,New York,329100206
C0507,John,Hale,Male,california,833-6515-21
C0508,Michael,Davis,M,Ohho,427-85-7401
C0509,Nicholas,,male,Ohio,872-17-5577
C0510,Tristan,,Male,Nw York,111-1123-01
C0511,Chad,Ramos,M,Texas,886579305
C0512,Ryan,Lee,M,Nw York,877-85-7648
C0513,Danielle,,F,Nw York,800-4481-53
C0514,Brian,Wallace,M,New Yorkk,374475345
C0515,Elizabeth,Boyd,F,NY,200-82-3160
C0516,Nathaniel,Snyder,M,NY,397-37-7759
C0517,Donald,,Male,Ohio,715-6758-13
C0518,Juan,Miller,Male,Texaz,638-37-0869
C0519,Barbara,Ellis,F,Californiya,990/97/4201
C0520,Jacob,Hughes,M,Californiya,138/39/3386
C0521,Jack,Castaneda,male,Nw York,050-27-2120
C0522,William,Smith,M,Texas,302-5533-55
C0523,Raymond,Wood,M,Texas,806-60-9242
C0524,Teresa,Martin,female,Ohho,034192490
C0525,Carl,Lindsey,Male,Ohio,323198349
C0526,Edgar,Bennett,M,Californiya,444.54.2284
C0527,Carlos,Bowman,male,Ohho,886.43.8183
C0528,Tracy,Stewart,M,Texaz,331959404
C0529,Bruce,Snow,M,Californiya,725.90.3432
C0530,Steven,Bennett,M,Nw York,460196325
C0531,Troy,,M,New Yorkk,028-94-7382
C0532,Daniel,Perkins,Male,Californiya,597/37/8024
C0533,Gabriel,,Male,Ohio,028432126
C0534,Brandon,Gamble,Male,Ohho,530-0021-67
C0535,Kenneth,,M,New Yorkk,760.39.1227
C0536,Daniel,Hardy,M,NY,113/85/1419
C0537,Gary,,M,Nw York,694/61/3884
C0538,Aaron,Peck,M,Nw York,629933034
C0539,Wanda,Clark,Female,NY,992095479
C0540,Eduardo,Stokes,Male,New York,663-14-5012
C0541,Carlos,,M,Texaz,572/63/4991
C0542,Joshua,Kramer,M,Ohio,385-8771-36
C0543,Bradley,Meyers,Male,New York,137-03-1524
C0544,Kyle,Soto,Male,Texas,677.99.4055
C0545,Christopher,Spencer,Male,New Yorkk,612-05-6774
C0546,Stephen,Brown,M,Texaz,732.93.2246
C0547,Kaitlyn,Thomas,Female,New York,764.86.3865
C0548,Eric,Winters,Male,NY,636-59-1132
C0549,Alexander,Harris,M,NY,541-7164-80
C0550,Gregory,Davidson,Male,Californiya,267-97-0472
C0551,Amanda,,F,Texas,034.52.0558
C0552,Kevin,,M,california,966365553
C0553,Miguel,Fletcher,Male,Ohio,987-32-9480
C0554,Gregory,Hicks,M,New Yorkk,966-37-9552
C0555,Alec,,M,Texaz,973-4733-34
C0556,Willie,,M,Californiya,568.43.1594
C0557,Frank,Miller,male,Texas,617-1762-79
C0558,Donna,,F,New Yorkk,089/63/5050
